G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
52,Fri Feb 22 2013,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,111,127,20,32,L 1,
53,Sun Feb 24 2013,2:30p EST,,Box Score,,Golden State Warriors,L,,99,100,20,33,L 2,
54,Tue Feb 26 2013,7:00p EST,,Box Score,@,Phoenix Suns,L,OT,83,84,20,34,L 3,
55,Thu Feb 28 2013,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,94,116,20,35,L 4,
56,Sat Mar 2 2013,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,94,109,20,36,L 5,
57,Mon Mar 4 2013,7:00p EST,,Box Score,,Miami Heat,L,,81,97,20,37,L 6,
58,Wed Mar 6 2013,7:00p EST,,Box Score,,Washington Wizards,W,,87,82,21,37,W 1,
59,Sat Mar 9 2013,7:00p EST,,Box Score,@,Denver Nuggets,L,,88,111,21,38,L 1,
60,Sun Mar 10 2013,6:00p EST,,Box Score,,Dallas Mavericks,L,,77,100,21,39,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Tue Mar 12 2013,7:00p EST,,Box Score,,San Antonio Spurs,W,,107,83,22,39,W 1,
62,Wed Mar 13 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,91,107,22,40,L 1,
63,Fri Mar 15 2013,7:00p EST,,Box Score,@,Houston Rockets,L,,100,108,22,41,L 2,
64,Sun Mar 17 2013,6:00p EST,,Box Score,,New Orleans Hornets,W,,97,95,23,41,W 1,
65,Mon Mar 18 2013,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,77,92,23,42,L 1,
66,Thu Mar 21 2013,7:00p EST,,Box Score,@,Sacramento Kings,L,,98,101,23,43,L 2,
67,Fri Mar 22 2013,7:00p EST,,Box Score,@,Phoenix Suns,W,,117,86,24,43,W 1,
68,Sun Mar 24 2013,6:00p EST,,Box Score,,Chicago Bulls,L,,97,104,24,44,L 1,
69,Tue Mar 26 2013,7:30p EST,,Box Score,@,Detroit Pistons,W,,105,82,25,44,W 1,
70,Wed Mar 27 2013,7:00p EST,,Box Score,,Los Angeles Lakers,L,,117,120,25,45,L 1,
71,Fri Mar 29 2013,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,101,93,26,45,W 1,
72,Sat Mar 30 2013,7:00p EST,,Box Score,,Memphis Grizzlies,L,,86,99,26,46,L 1,
73,Mon Apr 1 2013,7:00p EST,,Box Score,,Boston Celtics,W,,110,100,27,46,W 1,
74,Wed Apr 3 2013,7:00p EST,,Box Score,@,Milwaukee Bucks,W,,107,98,28,46,W 2,
75,Fri Apr 5 2013,7:00p EST,,Box Score,,Toronto Raptors,L,,93,95,28,47,L 1,
76,Sat Apr 6 2013,7:00p EST,,Box Score,,Detroit Pistons,W,,107,101,29,47,W 1,
77,Tue Apr 9 2013,7:30p EST,,Box Score,@,Golden State Warriors,L,,89,105,29,48,L 1,
78,Wed Apr 10 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,95,111,29,49,L 2,
79,Fri Apr 12 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,100,107,29,50,L 3,
80,Sat Apr 13 2013,7:00p EST,,Box Score,,Phoenix Suns,W,,105,93,30,50,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 15 2013,7:00p EST,,Box Score,,Utah Jazz,L,,80,96,30,51,L 1,
82,Wed Apr 17 2013,7:00p EST,,Box Score,@,San Antonio Spurs,W,,108,95,31,51,W 1,
