G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
74,Sat Mar 30 2013,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,109,99,54,20,W 1,
75,Thu Apr 4 2013,8:30p EST,,Box Score,,San Antonio Spurs,W,,100,88,55,20,W 2,
76,Fri Apr 5 2013,8:00p EST,,Box Score,@,Indiana Pacers,W,,97,75,56,20,W 3,
77,Sun Apr 7 2013,12:00p EST,,Box Score,,New York Knicks,L,,120,125,56,21,L 1,
78,Tue Apr 9 2013,7:00p EST,,Box Score,@,Utah Jazz,W,,90,80,57,21,W 1,
79,Thu Apr 11 2013,7:30p EST,,Box Score,@,Golden State Warriors,W,,116,97,58,21,W 2,
80,Fri Apr 12 2013,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,106,90,59,21,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 15 2013,7:00p EST,,Box Score,,Sacramento Kings,W,,104,95,60,21,W 4,
82,Wed Apr 17 2013,7:00p EST,,Box Score,,Milwaukee Bucks,L,,89,95,60,22,L 1,
