12,Los Angeles Clippers,82,19855,.455,13.1,.761,.264,.175,.105,.217,.239,.484,.656,.404,.406,.376,.365,.542,.052,311,.214,878,.844,.262,.399
13,Los Angeles Lakers*,82,19830,.437,13.1,.758,.250,.182,.114,.211,.242,.469,.627,.391,.385,.396,.335,.542,.047,285,.209,839,.894,.280,.362
14,Memphis Grizzlies*,82,19880,.457,12.9,.755,.274,.178,.107,.197,.245,.486,.664,.368,.398,.393,.369,.512,.046,272,.217,876,.860,.260,.408
15,Miami Heat*,82,19780,.434,12.8,.761,.262,.189,.114,.195,.239,.462,.592,.406,.399,.377,.345,.508,.050,289,.221,765,.861,.265,.398
16,Milwaukee Bucks,82,19830,.447,12.5,.794,.284,.156,.142,.211,.206,.476,.614,.394,.410,.396,.334,.535,.044,250,.228,821,.858,.279,.353
17,Minnesota Timberwolves,82,19780,.468,13.1,.753,.276,.151,.109,.217,.247,.499,.669,.392,.391,.410,.374,.564,.059,370,.209,878,.890,.291,.380
18,New Jersey Nets,82,20005,.465,12.5,.789,.280,.179,.109,.221,.211,.492,.633,.409,.409,.422,.364,.537,.052,314,.236,891,.882,.284,.386
19,New Orleans Hornets*,82,19830,.457,13.3,.752,.249,.177,.116,.210,.248,.490,.685,.409,.384,.387,.357,.538,.047,274,.206,831,.878,.269,.407
20,New York Knicks*,82,19780,.472,11.9,.790,.295,.204,.102,.189,.210,.499,.653,.372,.405,.445,.372,.458,.054,330,.240,993,.826,.283,.397
21,Oklahoma City Thunder*,82,20005,.458,11.7,.804,.298,.200,.105,.201,.196,.481,.650,.371,.377,.395,.361,.488,.055,335,.236,976,.880,.256,.395
22,Orlando Magic*,82,19830,.436,13.5,.775,.229,.173,.120,.253,.225,.461,.633,.402,.395,.378,.350,.509,.040,241,.187,714,.874,.282,.418
23,Philadelphia 76ers*,82,19930,.451,12.4,.793,.274,.181,.121,.216,.207,.480,.647,.371,.380,.417,.340,.542,.041,247,.226,908,.840,.228,.380
24,Phoenix Suns,82,20005,.472,12.9,.773,.243,.202,.110,.217,.227,.502,.690,.403,.437,.418,.367,.518,.045,300,.188,846,.821,.302,.402
25,Portland Trail Blazers*,82,19805,.467,12.4,.768,.296,.177,.093,.203,.232,.497,.637,.399,.410,.418,.367,.480,.048,273,.240,869,.819,.291,.370
26,Sacramento Kings,82,19855,.478,12.1,.802,.261,.221,.112,.208,.198,.508,.714,.382,.421,.429,.355,.495,.056,362,.212,957,.838,.262,.390
27,San Antonio Spurs*,82,19780,.456,12.5,.810,.256,.194,.122,.237,.190,.477,.628,.410,.413,.401,.367,.485,.035,216,.221,877,.835,.254,.468
28,Toronto Raptors,82,19780,.482,11.8,.784,.341,.158,.100,.187,.216,.511,.644,.437,.389,.396,.376,.515,.066,394,.256,999,.882,.300,.387
29,Utah Jazz,82,19880,.459,12.7,.757,.270,.198,.097,.193,.243,.486,.640,.396,.391,.410,.376,.498,.045,261,.213,810,.873,.280,.426
30,Washington Wizards,82,19930,.471,12.3,.777,.295,.178,.098,.207,.223,.499,.693,.344,.417,.394,.373,.544,.061,389,.225,957,.852,.291,.428
